Data_Venda;Produto;Categoria_Produto;Regiao;Canais_Venda;Quantidade;Preco_Unitario;Desconto;Cliente_ID;Cliente_Idade;Cliente_Sexo;Frequencia_Compra;Satisfacao_Cliente;Retorno;NPS;Acoes_Realizadas;KPI_Chave;Receita;Custo;Lucro_Bruto
2024-05-29;Middle;Brinquedos;Nordeste;Loja Física;13;335.03;0.08;2ebed37d-05d1-46b6-acee-c38d511fcda9;43;M;2;3;0;6;Promoção;Taxa de Retenção;4006.9588;2678.6904212285885;1328.2683787714109
2024-10-21;Run;Livros;Sudeste;Loja Física;16;428.69;0.26;567fec5e-04ea-481d-a006-8c1cbbd743b3;23;F;4;2;0;4;Cross-Sell;Taxa de Retenção;5075.6896;3662.6734270846086;1413.016172915391
2024-06-12;More;Eletrônicos;Nordeste;Online;1;281.76;0.28;0b4cba0a-317e-4b1d-9b83-acd5e2ccddd8;40;F;8;2;0;8;Promoção;CAC;202.8672;130.65954522878147;72.20765477121853
2024-01-16;Friend;Eletrônicos;Centro-Oeste;Online;4;22.62;0.15;b2e74e77-0fe1-4edf-a538-790169f12ccd;67;M;4;3;0;9;Cross-Sell;CAC;76.908;57.561097249747085;19.34690275025292
2024-04-10;Mind;Alimentos;Sul;Loja Física;4;38.09;0.2;e963544a-63b7-4101-8bf8-e26a4fae667b;34;F;1;2;0;6;Up-Sell;CAC;121.88800000000002;75.78327438544908;46.104725614550944
2024-07-17;Reach;Brinquedos;Centro-Oeste;Online;8;49.23;0.02;cb60fefc-c47e-430e-99b7-02a20d5f024a;49;M;8;1;0;4;Cross-Sell;Taxa de Retenção;385.9632;268.0101255989562;117.95307440104376
2024-07-07;As;Eletrônicos;Centro-Oeste;Loja Física;10;263.4;0.1;eb1c3ba4-5b9e-42d0-ab0c-9fddb61b03e9;66;M;4;1;0;7;Up-Sell;Taxa de Retenção;2370.6;1676.822220586258;693.7777794137419
2024-06-06;Life;Eletrônicos;Norte;Online;19;380.0;0.12;688181a8-13d1-4a49-ad46-9bf4d5cf2dc4;18;M;1;2;1;0;Cross-Sell;Taxa de Retenção;6353.6;4855.436490968326;1498.163509031674
2024-10-31;First;Brinquedos;Norte;Online;5;25.81;0.15;9aa909f1-5adf-4d04-b0d2-27180dd35d11;68;M;9;5;1;4;Fidelidade;Taxa de Retenção;109.69249999999998;68.40309524257003;41.28940475742995
2024-04-27;Character;Alimentos;Sudeste;Online;7;233.78;0.25;417df4f8-c1a7-4e00-9ec1-2fa2e6df12ce;21;M;4;2;0;3;Fidelidade;Receita por Cliente;1227.345;736.8181591203067;490.5268408796933
